Language,Language Code
Arabic,ar-sa
Bulgarian,bg-bg
Chinese (Simplified),zh-cn
Chinese,zh-tw
Croatian,hr-hr
Czech,cs-cz
Danish,da-dk
Dutch,nl-nl
English,en-us
Estonian,et-ee
Finnish,fi-fi
French,fr-fr
German,de-de
Greek,el-gr
Hebrew,he-il
Hindi,hi-in
Hungarian,hu-hu
Indonesian,id-id
Italian,it-it
Japanese,ja-jp
Kazakh,kk-kz
Korean,ko-kr
Latvian,lv-lv
Lithuanian,lt-lt
Malay,ms-my
Polish,pl-pl
Portuguese,pt-br
Portuguese,pt-pt
Romanian,ro-ro
Russian,ru-ru
Slovak,sk-sk
Slovenian,sl-si
Spanish,es-es
Swedish,sv-se
Thai,th-th
Turkish,tr-tr
Ukrainian,uk-ua
Vietnamese,vi-vn
